repository_name,github_url
pkumod/accelerating-TC,https://github.com/pkumod/accelerating-TC
pkusys/Auncel,https://github.com/pkusys/Auncel
pmelanson/corbit-2,https://github.com/pmelanson/corbit-2
psas/event-driven-fc,https://github.com/psas/event-driven-fc
qdHe/Parallelized-Force-directed-Graph-Drawing,https://github.com/qdHe/Parallelized-Force-directed-Graph-Drawing
qkrdmstn/flip3d-turbulence-cuda,https://github.com/qkrdmstn/flip3d-turbulence-cuda
qnicolas/CS267-hw2.3,https://github.com/qnicolas/CS267-hw2.3
rcarrascoc/GPU-2D-Convex_Hull_Filter,https://github.com/rcarrascoc/GPU-2D-Convex_Hull_Filter
rdunning0823/tophat,https://github.com/rdunning0823/tophat
remileonard/oldflight,https://github.com/remileonard/oldflight
ricardo-ayres/vertigo,https://github.com/ricardo-ayres/vertigo
richardesp/cudaKNN,https://github.com/richardesp/cudaKNN
richardjs/Maelstrom,https://github.com/richardjs/Maelstrom
rodme02/aula11_supercomp,https://github.com/rodme02/aula11_supercomp
root-project/rootbench,https://github.com/root-project/rootbench
ruadapt/BGPQ,https://github.com/ruadapt/BGPQ
s7a9/RayTrace,https://github.com/s7a9/RayTrace
sachithkadamba/CocoaSampleCode,https://github.com/sachithkadamba/CocoaSampleCode
sadmankiba/parallel-computing,https://github.com/sadmankiba/parallel-computing
saltsystemslab/gpu-filters,https://github.com/saltsystemslab/gpu-filters
samiran-kawtikwar/cpu-bnb,https://github.com/samiran-kawtikwar/cpu-bnb
sandialabs/lgrtk,https://github.com/sandialabs/lgrtk
sandialabs/omega_h,https://github.com/sandialabs/omega_h
scicompuu/sesegpu,https://github.com/scicompuu/sesegpu
sean-chester/skycube-templates,https://github.com/sean-chester/skycube-templates
sh1ng/arboretum,https://github.com/sh1ng/arboretum
simoncblyth/opticks,https://github.com/simoncblyth/opticks
simondlevy/Hackflight,https://github.com/simondlevy/Hackflight
skiselkov/openfmc,https://github.com/skiselkov/openfmc
sksat/trochia,https://github.com/sksat/trochia
smaugmuds/_smaug_,https://github.com/smaugmuds/_smaug_
smcameron/space-nerds-in-space,https://github.com/smcameron/space-nerds-in-space
solemnsky/solemnsky,https://github.com/solemnsky/solemnsky
soumith/cunnsparse,https://github.com/soumith/cunnsparse
sphCow/cuMDNonAffine,https://github.com/sphCow/cuMDNonAffine
spikegpu/ParallelRCM,https://github.com/spikegpu/ParallelRCM
spikegpu/SaPLibrary,https://github.com/spikegpu/SaPLibrary
spinicist/riesling,https://github.com/spinicist/riesling
srlabib/Asteroids-Game,https://github.com/srlabib/Asteroids-Game
st-tech/ppf-contact-solver,https://github.com/st-tech/ppf-contact-solver
stefanludlow/OpenRPI,https://github.com/stefanludlow/OpenRPI
sugata-daiki/seminar_for_cuda_molecular_dynamics_developers,https://github.com/sugata-daiki/seminar_for_cuda_molecular_dynamics_developers
superxjm/GlobalNonrigidRegistration,https://github.com/superxjm/GlobalNonrigidRegistration
szcompressor/FZ-GPU,https://github.com/szcompressor/FZ-GPU
takagi/cython-thrust,https://github.com/takagi/cython-thrust
temporal-hpc/RTX-CUDA-template,https://github.com/temporal-hpc/RTX-CUDA-template
termoshtt/cujak,https://github.com/termoshtt/cujak
the-martian-trajectory-app/trajectory,https://github.com/the-martian-trajectory-app/trajectory
theLongLab/Apollo,https://github.com/theLongLab/Apollo
thebestcoin/ccminer,https://github.com/thebestcoin/ccminer
thisistejaspandey/CodersStrikeBack,https://github.com/thisistejaspandey/CodersStrikeBack
thmyl/rt_entry,https://github.com/thmyl/rt_entry
tidewise/simulation-gazebo_usv,https://github.com/tidewise/simulation-gazebo_usv
tierChampion/LightTransportSimulation,https://github.com/tierChampion/LightTransportSimulation
to-aoki/bitsandbytes,https://github.com/to-aoki/bitsandbytes
torch/DEPRECEATED-torch7-distro,https://github.com/torch/DEPRECEATED-torch7-distro
tstellar/cs510fly,https://github.com/tstellar/cs510fly
tum-vision/prost,https://github.com/tum-vision/prost
